break_id,reconciliation_id,business_date,break_type,mismatch_type,root_cause,source_system,comparison_system,source_record_id,comparison_record_id,source_value,target_value,difference,breaking_fields,severity,status,age,counterparty,client,corporate_action_type,needs_evidence_bundle,split
BRK00001,RECON-DAILY,2026-08-10,CASH,CASH_WRONG_AMOUNT,Cash amount posted differs from expected trade value by a non-round amount,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100000,TRD100000,389282.0,354246.62,,amount,P1,OPEN,0,HDFC-CUST,EQ-CORE-02,,False,TRAIN
BRK00002,RECON-DAILY,2026-08-18,POSITION,POS_MISSING_BOOKING,Missing upstream booking - position never reflected externally,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100002,TRD100002,200,0,,actual_quantity,P0,OPEN,0,MORGANSTANLEY-BROKER,EQ-CORE-01,,False,TEST
BRK00003,RECON-DAILY,2026-08-20,SETTLEMENT,SETL_LATE_COUNTERPARTY,Counterparty has not settled by the expected date,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100003,TRD100003,2026-08-20,2026-08-25,,"settlement_date,settlement_status",P1,OPEN,0,KOTAK-CUST,EQ-CORE-01,,True,TRAIN
BRK00004,RECON-DAILY,2026-08-06,CASH,CASH_FX_INPUT_DIFFERENCE,Cash posted in a different currency / at a stale or incorrect FX rate,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100004,TRD100004,914055.0,978038.85,,"amount,currency",P2,OPEN,0,HDFC-CUST,EQ-ALPHA-03,,False,TEST
BRK00005,RECON-DAILY,2026-08-14,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100008,TRD100008,1000,500,,actual_quantity,P1,OPEN,0,KOTAK-CUST,EQ-INDEX-04,MANDATORY,True,TEST
BRK00006,RECON-DAILY,2026-08-10,SETTLEMENT,SETL_LATE_COUNTERPARTY,Counterparty has not settled by the expected date,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100009,TRD100009,2026-08-10,2026-08-12,,"settlement_date,settlement_status",P1,OPEN,0,NOMURA-BROKER,EQ-CORE-01,,True,TRAIN
BRK00007,RECON-DAILY,2026-08-20,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100012,TRD100012,1500,1350,,actual_quantity,P1,OPEN,0,NOMURA-BROKER,EQ-ALPHA-03,MANDATORY,True,TRAIN
BRK00008,RECON-DAILY,2026-08-06,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100016,TRD100016,300,100,,actual_quantity,P1,OPEN,0,NOMURA-BROKER,EQ-CORE-02,MANDATORY,True,TEST
BRK00009,RECON-DAILY,2026-08-19,TRADE,TRADE_COUNTERPARTY_ID_MISMATCH,Confirmed counterparty identifier differs from booked counterparty,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100018,TRD100018,KOTAK-CUST,DEUTSCHE-BROKER,,counterparty,P1,OPEN,0,KOTAK-CUST,EQ-ALPHA-03,,True,TRAIN
BRK00010,RECON-DAILY,2026-08-02,POSITION,POS_TIMING_DIFFERENCE,"Timing difference - quantities agree, as-of dates don't (expected to self-resolve)",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100019,TRD100019,2026-08-02,2026-08-03,,as_of_date,P2,OPEN,0,NOMURA-BROKER,EQ-ALPHA-03,,False,TRAIN
